"date","dose","age_group","number"
2021-01-07,"dose1","12-17",1
2021-01-12,"dose1","12-17",1
2021-03-03,"dose1","12-17",1
2021-03-14,"dose1","12-17",2
2021-03-29,"dose1","12-17",1
2021-03-31,"dose1","12-17",1
2021-04-08,"dose1","12-17",1
2021-04-10,"dose1","12-17",6
2021-04-11,"dose1","12-17",4
2021-04-14,"dose1","12-17",5
2021-04-15,"dose1","12-17",6
2021-04-16,"dose1","12-17",11
2021-04-17,"dose1","12-17",19
2021-04-18,"dose1","12-17",2
2021-04-19,"dose1","12-17",5
2021-04-20,"dose1","12-17",4
2021-04-21,"dose1","12-17",14
2021-04-22,"dose1","12-17",4
2021-04-23,"dose1","12-17",12
2021-04-24,"dose1","12-17",33
2021-04-25,"dose1","12-17",3
2021-04-26,"dose1","12-17",4
2021-04-27,"dose1","12-17",12
2021-04-28,"dose1","12-17",29
2021-04-29,"dose1","12-17",4
2021-04-30,"dose1","12-17",13
2021-05-02,"dose1","12-17",77
2021-05-03,"dose1","12-17",8
2021-05-04,"dose1","12-17",5
2021-05-05,"dose1","12-17",29
2021-05-06,"dose1","12-17",6
2021-05-07,"dose1","12-17",10
2021-05-08,"dose1","12-17",1
2021-05-09,"dose1","12-17",2
2021-05-10,"dose1","12-17",6
2021-05-11,"dose1","12-17",7
2021-05-12,"dose1","12-17",15
2021-05-13,"dose1","12-17",1
2021-05-14,"dose1","12-17",16
2021-05-15,"dose1","12-17",9
2021-05-16,"dose1","12-17",3
2021-05-17,"dose1","12-17",7
2021-05-18,"dose1","12-17",3
2021-05-19,"dose1","12-17",15
2021-05-20,"dose1","12-17",19
2021-05-21,"dose1","12-17",12
2021-05-22,"dose1","12-17",13
2021-05-23,"dose1","12-17",2
2021-05-25,"dose1","12-17",9
2021-05-26,"dose1","12-17",24
2021-05-27,"dose1","12-17",3
2021-05-28,"dose1","12-17",8
2021-05-29,"dose1","12-17",36
2021-05-31,"dose1","12-17",12
2021-06-01,"dose1","12-17",5
2021-06-02,"dose1","12-17",18
2021-06-03,"dose1","12-17",10
2021-06-04,"dose1","12-17",8
2021-06-05,"dose1","12-17",12
2021-06-06,"dose1","12-17",1
2021-06-07,"dose1","12-17",6
2021-06-08,"dose1","12-17",9
2021-06-09,"dose1","12-17",10
2021-06-10,"dose1","12-17",10
2021-06-11,"dose1","12-17",17
2021-06-12,"dose1","12-17",213
2021-06-13,"dose1","12-17",9
2021-06-14,"dose1","12-17",72
2021-06-15,"dose1","12-17",49
2021-06-16,"dose1","12-17",103
2021-06-17,"dose1","12-17",35
2021-06-18,"dose1","12-17",44
2021-06-19,"dose1","12-17",1
2021-06-20,"dose1","12-17",4
2021-06-21,"dose1","12-17",30
2021-06-22,"dose1","12-17",35
2021-06-23,"dose1","12-17",34
2021-06-24,"dose1","12-17",39
2021-06-25,"dose1","12-17",56
2021-06-26,"dose1","12-17",13
2021-06-28,"dose1","12-17",56
2021-06-29,"dose1","12-17",3
2021-06-30,"dose1","12-17",96
2021-07-01,"dose1","12-17",61
2021-07-02,"dose1","12-17",83
2021-07-03,"dose1","12-17",40
2021-07-04,"dose1","12-17",2
2021-07-05,"dose1","12-17",49
2021-07-06,"dose1","12-17",56
2021-07-07,"dose1","12-17",52
2021-07-08,"dose1","12-17",45
2021-07-09,"dose1","12-17",50
2021-07-10,"dose1","12-17",58
2021-07-12,"dose1","12-17",58
2021-07-13,"dose1","12-17",101
2021-07-14,"dose1","12-17",1
2021-07-15,"dose1","12-17",75
2021-07-16,"dose1","12-17",137
2021-07-17,"dose1","12-17",13
2021-07-18,"dose1","12-17",2
2021-07-19,"dose1","12-17",92
2021-07-20,"dose1","12-17",116
2021-07-21,"dose1","12-17",117
2021-07-22,"dose1","12-17",79
2021-07-23,"dose1","12-17",87
2021-07-24,"dose1","12-17",25
2021-07-25,"dose1","12-17",7
2021-07-26,"dose1","12-17",80
2021-07-27,"dose1","12-17",90
2021-07-28,"dose1","12-17",89
2021-07-29,"dose1","12-17",115
2021-07-30,"dose1","12-17",121
2021-07-31,"dose1","12-17",311
2021-08-01,"dose1","12-17",30
2021-08-02,"dose1","12-17",273
2021-08-03,"dose1","12-17",336
2021-08-04,"dose1","12-17",354
2021-08-05,"dose1","12-17",339
2021-08-06,"dose1","12-17",240
2021-08-07,"dose1","12-17",354
2021-08-08,"dose1","12-17",226
2021-08-09,"dose1","12-17",305
2021-08-10,"dose1","12-17",324
2021-08-11,"dose1","12-17",282
2021-08-12,"dose1","12-17",165
2021-08-13,"dose1","12-17",152
2021-08-14,"dose1","12-17",485
2021-08-15,"dose1","12-17",11
2021-08-16,"dose1","12-17",79
2021-08-17,"dose1","12-17",91
2021-08-18,"dose1","12-17",262
2021-08-19,"dose1","12-17",201
2021-08-20,"dose1","12-17",236
2021-08-21,"dose1","12-17",292
2021-08-22,"dose1","12-17",2
2021-08-23,"dose1","12-17",241
2021-08-24,"dose1","12-17",181
2021-08-25,"dose1","12-17",198
2021-08-26,"dose1","12-17",163
2021-08-27,"dose1","12-17",210
2021-08-28,"dose1","12-17",382
2021-08-29,"dose1","12-17",103
2021-08-30,"dose1","12-17",147
2021-08-31,"dose1","12-17",145
2021-09-01,"dose1","12-17",184
2021-09-02,"dose1","12-17",130
2021-09-03,"dose1","12-17",140
2021-09-04,"dose1","12-17",120
2021-09-05,"dose1","12-17",1
2021-09-06,"dose1","12-17",95
2021-09-07,"dose1","12-17",69
2021-09-08,"dose1","12-17",91
2021-09-09,"dose1","12-17",101
2021-09-10,"dose1","12-17",75
2021-09-11,"dose1","12-17",64
2021-09-12,"dose1","12-17",9
2021-09-13,"dose1","12-17",59
2021-09-14,"dose1","12-17",47
2021-09-15,"dose1","12-17",44
2021-09-16,"dose1","12-17",37
2021-09-17,"dose1","12-17",58
2021-09-18,"dose1","12-17",66
2021-09-20,"dose1","12-17",19
2021-09-21,"dose1","12-17",18
2021-09-22,"dose1","12-17",84
2021-09-23,"dose1","12-17",25
2021-09-24,"dose1","12-17",38
2021-09-25,"dose1","12-17",14
2021-09-27,"dose1","12-17",20
2021-09-28,"dose1","12-17",37
2021-09-29,"dose1","12-17",25
2021-09-30,"dose1","12-17",12
2021-10-01,"dose1","12-17",36
2021-10-02,"dose1","12-17",22
2021-10-04,"dose1","12-17",2
2021-10-05,"dose1","12-17",14
2021-10-06,"dose1","12-17",16
2021-10-07,"dose1","12-17",5
2021-10-08,"dose1","12-17",8
2021-10-09,"dose1","12-17",49
2021-10-10,"dose1","12-17",5
2021-10-11,"dose1","12-17",16
2021-10-12,"dose1","12-17",9
2021-10-13,"dose1","12-17",31
2021-10-14,"dose1","12-17",21
2021-10-15,"dose1","12-17",27
2021-10-16,"dose1","12-17",13
2021-10-18,"dose1","12-17",11
2021-10-19,"dose1","12-17",8
2021-10-20,"dose1","12-17",29
2021-10-21,"dose1","12-17",12
2021-10-22,"dose1","12-17",7
2021-10-23,"dose1","12-17",23
2021-10-25,"dose1","12-17",23
2021-10-26,"dose1","12-17",17
2021-10-27,"dose1","12-17",20
2021-10-28,"dose1","12-17",18
2021-10-29,"dose1","12-17",26
2021-10-30,"dose1","12-17",20
2021-10-31,"dose1","12-17",5
2021-11-02,"dose1","12-17",26
2021-11-03,"dose1","12-17",30
2021-11-04,"dose1","12-17",32
2021-11-05,"dose1","12-17",29
2021-11-06,"dose1","12-17",18
2021-11-07,"dose1","12-17",1
2021-11-08,"dose1","12-17",11
2021-11-09,"dose1","12-17",12
2021-11-10,"dose1","12-17",38
2021-11-11,"dose1","12-17",11
2021-11-12,"dose1","12-17",28
2021-11-13,"dose1","12-17",17
2021-11-15,"dose1","12-17",7
2021-11-16,"dose1","12-17",13
2021-11-17,"dose1","12-17",49
2021-11-18,"dose1","12-17",11
2021-11-19,"dose1","12-17",29
2021-11-20,"dose1","12-17",67
2021-11-22,"dose1","12-17",18
2021-11-23,"dose1","12-17",12
2021-11-24,"dose1","12-17",90
2021-11-25,"dose1","12-17",34
2021-11-26,"dose1","12-17",29
2021-11-27,"dose1","12-17",41
2021-11-29,"dose1","12-17",22
2021-11-30,"dose1","12-17",18
2021-12-01,"dose1","12-17",68
2021-12-02,"dose1","12-17",48
2021-12-03,"dose1","12-17",51
2021-12-04,"dose1","12-17",76
2021-12-06,"dose1","12-17",27
2021-12-07,"dose1","12-17",19
2021-12-08,"dose1","12-17",39
2021-12-09,"dose1","12-17",31
2021-12-10,"dose1","12-17",29
2021-12-11,"dose1","12-17",25
2021-12-12,"dose1","12-17",10
2021-12-13,"dose1","12-17",57
2021-12-14,"dose1","12-17",53
2021-12-15,"dose1","12-17",50
2021-12-16,"dose1","12-17",38
2021-12-17,"dose1","12-17",56
2021-12-18,"dose1","12-17",29
2021-12-19,"dose1","12-17",15
2021-12-20,"dose1","12-17",30
2021-12-21,"dose1","12-17",52
2021-12-22,"dose1","12-17",40
2021-12-23,"dose1","12-17",33
2021-12-24,"dose1","12-17",5
2021-12-27,"dose1","12-17",25
2021-12-28,"dose1","12-17",40
2021-12-29,"dose1","12-17",24
2021-12-30,"dose1","12-17",23
2021-12-31,"dose1","12-17",1
2022-01-03,"dose1","12-17",20
2022-01-04,"dose1","12-17",27
2022-01-05,"dose1","12-17",43
2022-01-06,"dose1","12-17",35
2022-01-07,"dose1","12-17",37
2022-01-08,"dose1","12-17",27
2022-01-09,"dose1","12-17",18
2022-01-10,"dose1","12-17",17
2022-01-11,"dose1","12-17",13
2022-01-12,"dose1","12-17",33
2022-01-13,"dose1","12-17",11
2022-01-14,"dose1","12-17",9
2022-01-15,"dose1","12-17",29
2022-01-16,"dose1","12-17",13
2022-01-17,"dose1","12-17",12
2022-01-18,"dose1","12-17",11
2022-01-19,"dose1","12-17",31
2022-01-20,"dose1","12-17",7
2022-01-21,"dose1","12-17",14
2022-01-22,"dose1","12-17",27
2022-01-24,"dose1","12-17",16
2022-01-25,"dose1","12-17",12
2022-01-26,"dose1","12-17",53
2022-01-27,"dose1","12-17",18
2022-01-28,"dose1","12-17",21
2022-01-29,"dose1","12-17",14
2022-01-31,"dose1","12-17",12
2022-02-01,"dose1","12-17",23
2022-02-02,"dose1","12-17",38
2022-02-03,"dose1","12-17",9
2022-02-04,"dose1","12-17",16
2022-02-05,"dose1","12-17",43
2022-02-06,"dose1","12-17",12
2022-02-07,"dose1","12-17",16
2022-02-08,"dose1","12-17",22
2022-02-09,"dose1","12-17",37
2022-02-10,"dose1","12-17",11
2022-02-11,"dose1","12-17",17
2022-02-12,"dose1","12-17",25
2022-02-13,"dose1","12-17",13
2022-02-14,"dose1","12-17",6
2022-02-15,"dose1","12-17",11
2022-02-16,"dose1","12-17",30
2022-02-17,"dose1","12-17",12
2022-02-18,"dose1","12-17",8
2022-02-19,"dose1","12-17",19
2022-02-20,"dose1","12-17",7
2022-02-21,"dose1","12-17",17
2022-02-22,"dose1","12-17",36
2022-02-23,"dose1","12-17",27
2022-02-24,"dose1","12-17",16
2022-02-25,"dose1","12-17",16
2022-02-26,"dose1","12-17",9
2022-02-28,"dose1","12-17",3
2022-03-01,"dose1","12-17",3
2022-03-02,"dose1","12-17",15
2022-03-03,"dose1","12-17",6
2022-03-04,"dose1","12-17",4
2022-03-07,"dose1","12-17",2
2022-03-08,"dose1","12-17",4
2022-03-09,"dose1","12-17",5
2022-03-10,"dose1","12-17",6
2022-03-11,"dose1","12-17",2
2022-03-12,"dose1","12-17",2
2022-03-14,"dose1","12-17",3
2022-03-15,"dose1","12-17",3
2022-03-16,"dose1","12-17",3
2022-03-17,"dose1","12-17",7
2022-03-18,"dose1","12-17",1
2022-03-21,"dose1","12-17",6
2022-03-22,"dose1","12-17",3
2022-03-23,"dose1","12-17",4
2022-03-24,"dose1","12-17",1
2022-03-25,"dose1","12-17",3
2022-03-26,"dose1","12-17",2
2022-03-28,"dose1","12-17",3
2022-03-29,"dose1","12-17",2
2022-03-30,"dose1","12-17",3
2022-03-31,"dose1","12-17",2
2022-04-02,"dose1","12-17",2
2022-04-04,"dose1","12-17",4
2022-04-05,"dose1","12-17",4
2022-04-06,"dose1","12-17",4
2022-04-07,"dose1","12-17",4
2022-04-08,"dose1","12-17",2
2022-04-11,"dose1","12-17",9
2022-04-12,"dose1","12-17",7
2022-04-13,"dose1","12-17",4
2022-04-14,"dose1","12-17",3
