name,initial,min,max,integer
beta1,0.025,0,1,FALSE
beta2,0.02,0,1,FALSE
beta3,0.024,0,1,FALSE
beta4,0.02,0,1,FALSE
beta5,0.024,0,1,FALSE
rel_strain_transmission,2.7,0.25,4,FALSE
start_date,197,183,213,FALSE
strain_seed_date,531,506,546,FALSE
p_H_max,0.200313353,0,1,FALSE
p_D,0.316,0,1,FALSE
p_D_2,0.316,0,1,FALSE
p_D_3,0.316,0,1,FALSE
rel_strain_transmission1,3.2,2,6,FALSE
strain_seed_date1,701,691,713,FALSE
strain_rel_p_hosp_if_sympt,1.9,0,3,FALSE
phi_cases,0.5,0,1,FALSE
alpha_cases,0.5,0,1,FALSE
alpha_hosp,0.5,0,1,FALSE
alpha_death,0.5,0,1,FALSE
