"names","beta1","beta2","beta3","beta4","beta5","rel_strain_transmission","start_date","strain_seed_date","p_H_max","p_D_max","rel_strain_transmission1","strain_seed_date1","rel_strain_transmission2","strain_seed_date2","phi_cases","alpha_cases","alpha_hosp","alpha_death"
"beta1","1e-08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"beta2","0","1e-08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"beta3","0","0","1e-08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"beta4","0","0","0","1e-08","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"beta5","0","0","0","0","1e-08","0","0","0","0","0","0","0","0","0","0","0","0","0"
"rel_strain_transmission","0","0","0","0","0","0.001","0","0","0","0","0","0","0","0","0","0","0","0"
"start_date","0","0","0","0","0","0","0.4","0","0","0","0","0","0","0","0","0","0","0"
"strain_seed_date","0","0","0","0","0","0","0","0.4","0","0","0","0","0","0","0","0","0","0"
"p_H_max","0","0","0","0","0","0","0","0","1e-06","0","0","0","0","0","0","0","0","0"
"p_D_max","0","0","0","0","0","0","0","0","0","1e-06","0","0","0","0","0","0","0","0"
"rel_strain_transmission1","0","0","0","0","0","0","0","0","0","0","0.001","0","0","0","0","0","0","0"
"strain_seed_date1","0","0","0","0","0","0","0","0","0","0","0","0.4","0","0","0","0","0","0"
"rel_strain_transmission2","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0","0","0","0","0"
"strain_seed_date2","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4","0","0","0","0"
"phi_cases","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1e-06","0","0","0"
"alpha_cases","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1e-06","0","0"
"alpha_hosp","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1e-06","0"
"alpha_death","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1e-06"
